"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","population_proper","density","source","incorporated","timezone","zips","id"
"Prairie Ridge","Prairie Ridge","WA","Washington","53053","Pierce","47.1443","-122.1408","","","1349.8","polygon","False","America/Los_Angeles","98360 98391","1840037882"
"Edison","Edison","WA","Washington","53057","Skagit","48.5602","-122.4311","","","127.4","polygon","False","America/Los_Angeles","98232","1840017314"
"Packwood","Packwood","WA","Washington","53041","Lewis","46.6085","-121.6702","","","213.9","polygon","False","America/Los_Angeles","98361","1840025265"
"Wautauga Beach","Wautauga Beach","WA","Washington","53035","Kitsap","47.5862","-122.5482","","","261.7","point","False","America/Los_Angeles","98366","1840037725"
"Harper","Harper","WA","Washington","53035","Kitsap","47.5207","-122.5196","","","342.1","point","False","America/Los_Angeles","98366","1840037659"
"Telma","Telma","WA","Washington","53007","Chelan","47.8432","-120.8157","","","1.4","point","False","America/Los_Angeles","98826","1840037825"
"Kahlotus","Kahlotus","WA","Washington","53021","Franklin","46.6437","-118.5565","199","199","173","polygon","True","America/Los_Angeles","99335","1840018478"
"Mondovi","Mondovi","WA","Washington","53043","Lincoln","47.6813","-118.0164","","","9.4","point","False","America/Los_Angeles","99122","1840037576"
"Washtucna","Washtucna","WA","Washington","53001","Adams","46.7540","-118.3106","204","204","120","polygon","True","America/Los_Angeles","99371","1840022312"
"Pleasant Hill","Pleasant Hill","WA","Washington","53033","King","47.6154","-121.9096","","","25.8","point","False","America/Los_Angeles","98014","1840037805"
"Toledo","Toledo","WA","Washington","53041","Lewis","46.4412","-122.8493","751","751","738","polygon","True","America/Los_Angeles","98591","1840021162"
"Wabash","Wabash","WA","Washington","53033","King","47.2429","-122.0576","","","56.2","point","False","America/Los_Angeles","98022","1840037831"
"Renton","Renton","WA","Washington","53033","King","47.4758","-122.1905","101379","101379","1671","polygon","True","America/Los_Angeles","98059 98058 98057 98056 98055","1840019827"
"Chehalis","Chehalis","WA","Washington","53041","Lewis","46.6637","-122.9647","7533","7533","500","polygon","True","America/Los_Angeles","98532","1840018472"
"Marcellus","Marcellus","WA","Washington","53001","Adams","47.2335","-118.4053","","","0.0","point","False","America/Los_Angeles","99169","1840033750"
